_id,license_number,license_type_name,naics_code,business_name,license_state,initial_issue_date,most_recent_issue_date,effective_date,expiration_date
71,BL008135,General Contractor,236220,S & L CONTRACTING,Expired,2018-04-09T13:32:08,2018-04-09T13:32:43,2018-04-09T13:32:43,2019-04-09T13:32:43
72,BL008138,General Contractor,236220,JUST THE BEST GENERAL CONTRACTING LLC,Expired,2018-04-11T11:37:14,2018-04-11T12:14:26,2018-04-11T12:14:26,2019-04-11T12:14:26
73,BL008140,General Contractor,236220,SUPERIOR BUILDING GROUP LLC,Expired,2018-04-11T15:28:24,2022-03-17T00:00:00,2022-04-12T00:00:00,2023-04-11T00:00:00
74,BL008146,General Contractor,236220,40 NORTH RENOVATIONS LLC,Expired,2018-04-18T10:31:20,2019-04-11T00:00:00,2019-04-19T10:33:09,2020-04-18T00:00:00
75,BL008151,General Contractor,236220,ROBERT H EDGAR,Expired,2018-04-20T15:06:30,2018-04-20T15:11:42,2018-04-20T15:11:42,2019-04-20T15:11:42
76,BL008153,General Contractor,236220,"PITTSBURGH EASE, LLC",Expired,2018-04-24T09:44:42,2018-04-24T09:45:29,2018-04-24T09:45:29,2019-04-24T09:45:29
77,BL008157,General Contractor,236220,BILL JONES HOME IMPROVEMENTS,Expired,2018-04-27T12:13:04,2018-04-27T12:14:30,2018-04-27T12:14:30,2019-04-27T12:14:30
78,BL008158,General Contractor,236220,JNC CONTRACTING INC,Expired,2018-05-01T12:44:53,2019-05-16T00:00:00,2019-05-02T12:45:35,2020-05-01T00:00:00
79,BL004343,General Contractor,236220,"Meyers Management Co, Inc",Expired,2012-01-17T16:35:16,2024-01-02T00:00:00,2023-12-08T00:00:00,2024-12-07T00:00:00
80,BL004352,General Contractor,236220,Basic Concept Eurostyle Furnishings South Inc,Expired,2015-01-07T11:34:51,2013-01-10T12:59:33,2013-01-10T12:59:33,2014-01-10T12:59:33
81,BL007118,General Contractor,236220,CMS GENERAL CONTRACTING LLC,Expired,2015-01-14T12:53:08,2014-04-30T12:05:28,2014-04-30T12:05:28,2015-04-30T12:05:28
82,BL007119,General Contractor,236220,CUTTING EDGE CONSTRUCTION GROUP LLC,Expired,2015-01-14T12:53:01,2014-05-01T13:23:55,2014-05-01T13:23:55,2015-05-01T13:23:55
83,BL007124,General Contractor,236220,ALTON INDUSTRIES INC.,Expired,2015-01-14T12:52:57,2014-05-08T10:26:21,2014-05-08T10:26:21,2015-05-08T10:26:21
84,BL007126,General Contractor,236220,FRESH START DEVELOPMENT FOUNDATION CORP.,Expired,2015-01-14T12:52:58,2014-05-08T15:15:52,2014-05-08T15:15:52,2015-05-08T15:15:52
85,BL007128,General Contractor,236220,NETRICOM USA INC,Expired,2015-01-14T12:52:59,2014-05-09T11:03:18,2014-05-09T11:03:18,2015-05-09T11:03:18
86,BL007131,General Contractor,236220,BRIAN DONAHUE DBA,Expired,2015-01-14T12:53:10,2014-05-15T13:13:14,2014-05-15T13:13:14,2015-05-15T13:13:14
87,BL007135,General Contractor,236220,WORLD BUILDERS,Expired,2015-01-14T12:53:10,2014-05-23T13:46:53,2014-05-23T13:46:53,2015-05-23T13:46:53
88,BL007450,General Contractor,236220,JOSEPH PASQUALE,Expired,2015-09-16T13:50:07,2015-09-16T13:51:50,2015-09-16T13:51:50,2016-09-16T13:51:50
89,BL008161,General Contractor,236220,GREATER LAKES EZ-DOCK,Expired,2018-05-07T10:53:00,2019-03-27T00:00:00,2019-05-08T10:54:42,2020-05-07T00:00:00
90,BL008171,General Contractor,236220,MGCI,Expired,2018-05-18T09:18:57,2018-05-18T09:20:20,2018-05-18T09:20:20,2019-05-18T09:20:20
91,BL008174,General Contractor,236220,"WALSH CONSTRUCTION COMPANY II, LLC",Active,2018-05-18T14:55:14,2024-06-21T00:00:00,2024-05-19T00:00:00,2025-05-18T00:00:00
92,BL008180,General Contractor,236220,WILLIAM PENN MAINTENANCE & CONSTRUCTION,Expired,2018-05-23T12:51:55,2018-05-23T12:54:53,2018-05-23T12:54:53,2019-05-23T12:54:53
93,BL008184,General Contractor,236220,CONSOLIDATING HOUSE LLC,Expired,2018-05-31T13:28:20,2018-05-31T13:30:12,2018-05-31T13:30:12,2019-05-31T13:30:12
94,BL008188,General Contractor,236220,JANOCHA CONSTRUCTION INC,Expired,2018-06-04T12:32:56,2018-06-04T12:35:32,2018-06-04T12:35:32,2019-06-04T12:35:32
95,BL008190,General Contractor,236220,CULLEN BUILDING CO INC,Expired,2018-06-06T14:53:07,2021-07-01T00:00:00,2021-06-07T00:00:00,2022-06-06T00:00:00
96,BL008195,General Contractor,236220,"LANDMARK RESTORATIONS, LTD",Expired,2018-06-15T08:50:56,2019-07-19T00:00:00,2019-06-16T08:51:27,2020-06-15T00:00:00
97,BL008197,General Contractor,236220,STREET CONTRACTING,Expired,2018-06-18T12:16:41,2018-06-18T12:17:26,2018-06-18T12:17:26,2019-06-18T12:17:26
98,BL008201,General Contractor,236220,Incline Homes LLC,Active,2018-06-20T09:02:25,2024-06-11T00:00:00,2024-06-21T00:00:00,2025-06-20T00:00:00
99,BL008207,General Contractor,236220,S AND S CLIMATE SYSTEMS,Expired,2018-06-28T11:53:04,2018-06-28T11:59:05,2018-06-28T11:59:05,2019-06-28T11:59:05
100,BL008208,General Contractor,236220,Stella Trading LLC,Expired,2018-06-29T10:58:02,2020-07-14T00:00:00,2020-06-30T00:00:00,2021-06-29T00:00:00
101,BL008211,General Contractor,236220,DAVE'S CONSTRUCTION SERVICE INC,Expired,2018-07-06T09:28:33,2018-07-06T09:29:48,2018-07-06T09:29:48,2019-07-06T09:29:48
102,BL008214,General Contractor,236220,MODERN REMODELING SERVICES LLC,Expired,2018-07-10T09:21:14,2018-07-10T09:24:01,2018-07-10T09:24:01,2019-07-10T09:24:01
103,BL008217,General Contractor,236220,WILLOUGHBY ROOFING & SHEET METAL,Expired,2018-07-11T11:04:04,2018-07-11T11:05:00,2018-07-11T11:05:00,2019-07-11T11:05:00
104,BL004940,General Contractor,236220,CMN MANAGEMENT,Expired,2012-07-30T09:27:33,2017-11-06T09:59:02,2017-11-06T09:59:02,2018-11-06T09:59:02
105,BL005036,General Contractor,236220,ABC FIRE EXTINGUISHER CO,Expired,2012-01-24T10:30:04,2017-02-15T12:08:23,2017-02-15T12:08:23,2018-02-15T12:08:23
106,BL005144,General Contractor,236220,"Window World Penn Ohio, LLC",Expired,2014-02-13T14:33:38,2018-03-28T11:59:33,2018-03-28T11:59:33,2019-03-28T11:59:33
107,BL005146,General Contractor,236220,ZAMBANO AND SONS LLC,Expired,2012-02-06T13:30:00,2015-06-05T12:06:36,2015-06-05T12:06:36,2016-06-05T12:06:36
108,BL005135,General Contractor,236220,S & A HOMES INC,Expired,2015-01-14T12:45:28,2014-03-04T14:58:25,2014-03-04T14:58:25,2015-03-04T14:58:25
109,BL005173,General Contractor,236220,MIDWAY EXCAVATION & GENERAL CO.,Expired,2013-08-23T10:41:44,2019-11-12T00:00:00,2019-12-14T00:00:00,2020-12-13T00:00:00
110,BL007137,General Contractor,236220,SPERANZO CONSTRUCTION,Expired,2015-01-14T12:53:16,2014-05-30T09:47:27,2014-05-30T09:47:27,2015-05-30T09:47:27
111,BL007139,General Contractor,236220,SINGLETON CONSTRUCTION,Expired,2014-05-30T14:00:31,2017-09-27T14:19:52,2017-09-27T14:19:52,2018-09-27T14:19:52
112,BL007146,General Contractor,236220,Metropolitan Fire Protection,Expired,2014-06-11T07:50:49,2019-07-25T00:00:00,2019-09-01T11:23:56,2020-08-31T00:00:00
113,BL007161,General Contractor,236220,"W. R. NEWMAN & ASSOCIATES, INC.",Expired,2014-07-01T14:49:32,2017-09-13T08:26:36,2017-09-13T08:26:36,2018-09-13T08:26:36
114,BL007168,General Contractor,236220,5 STAR PAINTING,Expired,2015-01-14T12:53:40,2014-07-15T11:36:27,2014-07-15T11:36:27,2015-07-15T11:36:27
115,BL007171,General Contractor,236220,Everything Construction LLC,Expired,2014-07-22T10:43:35,2018-05-14T13:16:40,2018-05-14T13:16:40,2019-05-14T13:16:40
116,BL007178,General Contractor,236220,"BUSY BEAVER BUILDING CENTERS, INC",Expired,2015-01-14T12:53:42,2014-07-31T10:20:22,2014-07-31T10:20:22,2015-07-31T10:20:22
117,SN00584,Sign Contractor,238990,AT SIGNS,Expired,2015-06-11T16:06:01,2014-08-08T12:01:24,2014-08-08T12:01:24,2015-08-08T12:01:24
118,BL007185,General Contractor,236220,CENTERLLINE COMMUNICATIONS LLC,Expired,2014-08-15T13:51:46,2015-06-30T13:56:43,2015-06-30T13:56:43,2016-06-30T13:56:43
119,BL007187,General Contractor,236220,BM MAINTENANCE LLC,Expired,2015-01-14T12:53:34,2014-08-22T13:56:50,2014-08-22T13:56:50,2015-08-22T13:56:50
120,BL007451,General Contractor,236220,JENNIFER BALOG,Expired,2015-09-18T10:46:53,2016-02-01T09:51:38,2016-02-01T09:51:38,2017-02-01T09:51:38
121,SN00717,Sign Contractor,238990,CEREBRAL CONCEPTS,Expired,2015-09-23T12:09:51,2015-09-23T12:19:50,2015-09-23T12:19:50,2016-09-23T12:19:50
122,BL007458,General Contractor,236220,JONAH DEVELOPMENT CORP.,Expired,2015-10-01T15:41:57,2016-04-05T14:19:27,2016-04-05T14:19:27,2017-04-05T14:19:27
123,BL007461,General Contractor,236220,JK SAM LLC,Expired,2015-10-05T13:55:43,2015-10-05T13:57:54,2015-10-05T13:57:54,2016-10-05T13:57:54
124,BL007464,General Contractor,236220,Ray Benney General Contractors,Expired,2015-10-12T11:32:19,2016-09-06T13:25:20,2016-09-06T13:25:20,2017-09-06T13:25:20
125,BL008222,General Contractor,236220,Alice Street Restoration LLC,Expired,2018-07-25T11:34:45,2018-07-25T11:36:07,2018-07-25T11:36:07,2019-07-25T11:36:07
126,BL008226,General Contractor,236220,JBK Properties,Expired,2018-07-27T10:32:35,2023-11-07T00:00:00,2023-10-26T00:00:00,2024-10-25T00:00:00
127,BL008228,General Contractor,236220,BRENDAN MALCOLM GEN CON,Expired,2018-07-30T11:01:43,2018-07-31T06:50:48,2018-07-31T06:50:48,2019-07-31T06:50:48
128,SN00764,Sign Contractor,238990,Carik Sign Installation Services LLC,Expired,2018-08-02T12:06:57,2023-08-23T00:00:00,2023-08-03T00:00:00,2024-08-02T00:00:00
129,BL008233,General Contractor,236220,D F CONTRACTING,Expired,2018-08-02T15:05:12,2018-08-02T16:24:55,2018-08-02T16:24:55,2019-08-02T16:24:55
130,BL008235,General Contractor,236220,C.A NORRIS LLC,Expired,2018-08-07T09:59:35,2020-10-26T00:00:00,2020-08-08T00:00:00,2021-08-07T00:00:00
131,BL008240,General Contractor,236220,Lutterman Excavation LLC,Expired,2018-08-14T15:26:05,2021-07-15T00:00:00,2021-08-15T00:00:00,2022-08-14T00:00:00
132,SN00765,Sign Contractor,238990,Upper Darby Sign Company,Expired,2018-08-31T13:09:38,2018-08-31T13:11:05,2018-08-31T13:11:05,2019-08-31T13:11:05
133,BL008253,General Contractor,236220,"URBAN GREEN DEVELOPMENT, LLC",Expired,2018-09-05T10:06:38,2019-09-27T00:00:00,2019-09-06T10:20:54,2020-09-05T00:00:00
134,BL008259,General Contractor,236220,McCandless Holdings LP ,Active,2018-09-12T12:58:00,2024-09-17T00:00:00,2024-09-13T00:00:00,2025-09-12T00:00:00
135,BL008261,General Contractor,236220,"Mortar & Wood, Inc",Expired,2018-09-13T12:14:46,2018-09-13T12:16:32,2018-09-13T12:16:32,2019-09-13T12:16:32
136,BL008264,General Contractor,236220,J.S. Associated Services lnc,Expired,2018-09-14T10:36:53,2022-09-21T00:00:00,2022-09-15T00:00:00,2023-09-14T00:00:00
137,BL008268,General Contractor,236220,Mero Management,Expired,2018-09-17T12:42:04,2018-09-17T12:43:12,2018-09-17T12:43:12,2019-09-17T12:43:12
138,BL008274,General Contractor,236220,Mehr Construction Inc,Expired,2018-09-21T11:20:57,2018-09-21T11:22:44,2018-09-21T11:22:44,2019-09-21T11:22:44
139,BL004399,General Contractor,236220,RICHARD E SIPE GENERAL CONTRACTOR,Expired,2015-01-07T11:33:36,2012-05-16T12:36:49,2012-05-16T12:36:49,2013-05-16T12:36:49
140,BL004406,General Contractor,236220,RESTAURANT SPECIALTIES INC,Expired,2015-10-26T15:01:16,2015-10-26T15:03:26,2015-10-26T15:03:26,2016-10-26T15:03:26
141,BL007195,General Contractor,236220,RSW RECONSTRUCTION,Expired,2014-08-29T13:25:44,2015-03-03T09:09:39,2015-03-03T09:09:39,2016-03-03T09:09:39
142,SN00587,Sign Contractor,238990,BJ Maintenance Co Inc,Expired,2015-06-11T16:06:04,2014-09-05T10:40:02,2014-09-05T10:40:02,2015-09-05T10:40:02
143,BL007198,General Contractor,236220,Indovina Associates,Expired,2014-09-08T14:05:40,2015-01-15T15:00:12,2015-01-15T15:00:12,2016-01-15T15:00:12
144,BL007203,General Contractor,236220,"CURRAN TAYLOR, INC",Expired,2015-01-14T12:53:51,2014-09-16T10:27:35,2014-09-16T10:27:35,2015-09-16T10:27:35
145,BL007222,General Contractor,236220,TOTAL PACKAGE CONSTRUCTION,Expired,2014-10-10T09:43:24,2016-10-13T15:19:31,2016-10-13T15:19:31,2017-10-13T15:19:31
146,BL007223,General Contractor,236220,KMB DESIGN GROUP LLC,Expired,2015-01-14T12:49:14,2014-10-14T13:19:44,2014-10-14T13:19:44,2015-10-14T13:19:44
147,BL007225,General Contractor,236220,TI Services Inc,Expired,2014-10-16T10:42:41,2016-12-20T14:20:24,2016-12-20T14:20:24,2017-12-20T14:20:24
148,BL007228,General Contractor,236220,ADVANCED ELECTRICAL CONSTRUCTION INC,Expired,2015-01-14T12:53:27,2014-10-20T13:02:01,2014-10-20T13:02:01,2015-10-20T13:02:01
149,BL007229,General Contractor,236220,DANDS CONTRACTING,Expired,2015-01-14T12:49:16,2014-10-21T11:37:36,2014-10-21T11:37:36,2015-10-21T11:37:36
150,BL007231,General Contractor,236220,BERKICH ENTERPRISES INC.,Expired,2015-01-14T12:49:16,2014-10-27T13:29:06,2014-10-27T13:29:06,2015-10-27T13:29:06
151,BL007233,General Contractor,236220,CHRIS GATES,Expired,2015-01-14T12:54:05,2014-10-28T15:28:06,2014-10-28T15:28:06,2015-10-28T15:28:06
152,BL007236,General Contractor,236220,BRODERICKS COMPLETE CONTRACTING LLC,Expired,2015-01-14T12:53:27,2014-10-31T11:48:06,2014-10-31T11:48:06,2015-10-31T11:48:06
153,BL007238,General Contractor,236220,T.J. Petty Construction,Expired,2014-10-31T14:25:26,2015-01-13T11:17:01,2015-01-13T11:17:01,2016-01-13T11:17:01
154,BL007241,General Contractor,236220,LEAF REDEVELOPMENT LLC,Expired,2015-01-14T12:54:07,2014-11-06T13:02:15,2014-11-06T13:02:15,2015-11-06T13:02:15
155,BL007242,General Contractor,236220,FARNER FIRE,Expired,2014-11-06T15:13:41,2018-04-04T14:39:43,2018-04-04T14:39:43,2019-04-04T14:39:43
156,BL007244,General Contractor,236220,RICHARD HARDWAY CONTRACTING,Expired,2015-01-14T12:54:08,2014-11-10T14:08:59,2014-11-10T14:08:59,2015-11-10T14:08:59
157,SN00589,Sign Contractor,238990,RICK MCQUAIDE,Expired,2015-06-11T16:05:51,2014-11-12T12:22:00,2014-11-12T12:22:00,2015-11-12T12:22:00
158,BL007247,General Contractor,236220,BINGHAM BUILDING AND REMODELING,Expired,2015-01-14T12:53:28,2014-11-20T09:37:30,2014-11-20T09:37:30,2015-11-20T09:37:30
